id,name,cost_price
1,Икра кети Премиум 100г,55
2,Икра кети Премиум 250г,150
3,Икра кети Премиум 500г,290
4,Икра форели Премиум 250г,95
5,Икра форели Премиум 500г,180
6,Икра горбуши Премиум 100г,55
7,Икра горбуши Премиум 250г,140
8,Икра горбуши Премиум 500г,260
9,Икра кижуча Премиум 250г,170
10,Икра Кета без консерванта 1кг,550
11,Икра Кижуч без консерванта 1кг,520
12,Икра Горбуша без консерванта 1кг,490
13,Икра Кета 2 сорт без консерванта 1кг,300
14,Икра Форель без консерванта 1кг,320
15,Икра Форель без консерванта 500г,165
16,Икра осетра 50г,150
17,Икра осетра 100г,280
18,Икра амурской белуги 50г,280
19,Икра амурской белуги 100г,530
20,Икра белуги Huso Huso 50г,350
21,Икра гольца 250г,140
22,Икра щуки 100г,65
23,Икра мойвы 200г,25
24,Раки живые 190/240 1кг,110
25,Раки вареные 190/240 1кг,140
26,Раки вареные премиум 190/240 1кг,165
27,Лобстеры 350-400г 1кг,150
28,Лобстеры 500-800г 1кг,220
29,Лобстеры 1кг+ 1кг,260
30,Варка лобстера 1кг,15
31,Хвосты лангустов 1кг,350
32,Клешни снежного краба 1кг,150
33,Клешни королевского краба 1кг,600
34,Гребенцы с икрой 1кг,110
35,Мясо королевского краба 1кг,600
36,Печень трески Норвегия 500г,75
37,Печень трески Норвегия 350г,60
38,King Krab первая фаланга 250г,180
39,King Krab первая фаланга 400г,280
40,King Krab первая фаланга 520г,380
41,King Krab первая фаланга 720г,500
42,Blue Crab meat 454г,100
43,Скумбрия собственная посолка 1кг,30
44,Скумбрия с луком нарезка 1кг,35
45,Скумбрия свежемороженая 1кг,18
46,Скумбрия маринованная 1кг,25
47,Миксбокс 950г,70
48,Снек 100г (для микса),7
49,Снек бокс 200 злотых 2кг,120
50,Снек бокс 150 злотых 1.5кг,90
51,Снек бокс 100 злотых 1кг,60
52,Снек бокс Arriwa 2.5кг,155
53,Снек бокс Рыбалка 2кг,120
54,Снек бокс KrabsTime 2кг,120
55,Снек бокс Игра в кальмара 2кг,120
56,Снек бокс Рыбный 2кг,120
57,Снек бокс Морские 2кг,120
58,Снек бокс Пивная тарелка 2кг,120
59,Снек бокс Рыжий 2кг,120
60,Снек бокс 250 злотых MAX 2.5кг,155
61,Лящи Икряные 1кг,90
62,Плотва Икряная с чешуей S 1кг,70
63,Плотва Икряная с чешуей M 1кг,95
64,Плотва Икряная с чешуей L 1кг,110
65,Плотва Икряная без чешуи M 1кг,105
66,Плотва Икряная без чешуи XL 1кг,145
67,Щука 1кг,65
68,Судак 1кг,70
69,Бички черноморские 1кг,65
70,Корюшка с икрой 50/50 1кг,110
71,Корюшка зубатка Икряная 1кг,320
72,Юкола из кеты 1кг,155
73,Юкола из лосося 1кг,155
74,Икра судака 100г,14
75,Икра форели 100г,20
76,Рулет из 3 рыб 1кг,145
77,Рулет с кальмаром 1кг,165
78,Сыр косичка 100г,7
79,Скумбрия копченая 1кг,40
80,Юкола из семги 1кг,165
81,Мюдии сушеные 100г,10
82,Креветки сушеные целые 100г,14
83,Креветки сушеные чищеные 100г,15
84,Анчоусы 100г,10
85,Икряники с лососем 100г,10
86,Филе щуки 100г,10
87,Филе щуки с перцем 100г,10
88,Осьминог 100г,10
89,Филе кальмара полосатый 100г,10
90,Голден Фиш 100г,10
91,Стружка краба 100г,10
92,Стружка кальмара 100г,10
93,Мясо краба 100г,10
94,Нарезка краба 100г,10
95,Кольца кальмаров 100г,10
96,Паутинка кальмара 100г,10
97,Тунец премиум 100г,10
98,Кальмар по-шанхайски 100г,10
99,Тригла 100г,10
100,Камбала 100г,10
101,Угорь 100г,10
102,Тригла с перцем 100г,10
103,Крабовые палочки из кальмара 100г,10
104,Икряники 100г,10
105,Нерка в терияки 100г,10
106,Кета в терияки 100г,10
